We	O
propose	O
a	O
method	O
for	O
the	O
lattice	B_TAS
QCD	I_TAS
computation	I_TAS
of	I_TAS
nucleon–nucleon	I_TAS
low-energy	I_TAS
interactions	E_TAS
It	O
consists	O
in	O
simulating	B_PRO
QCD	E_PRO
in	O
the	O
background	O
of	O
a	O
“electromagnetic”	O
field	O
whose	O
potential	O
is	O
non-vanishing	O
but	O
whose	O
field	B_PRO
strength	I_PRO
is	I_PRO
zero	E_PRO
By	O
tuning	B_PRO
the	I_PRO
background	I_PRO
field	E_PRO
phase-shifts	B_TAS
at	I_TAS
any	I_TAS
(but	I_TAS
small)	I_TAS
momenta	E_TAS
can	O
be	O
determined	O
by	O
measuring	B_PRO
the	I_PRO
shift	I_PRO
of	I_PRO
the	I_PRO
ground	I_PRO
state	I_PRO
energy	E_PRO
Lattice	B_MAT
sizes	E_MAT
as	O
small	O
as	O
5	O
Fermi	O
can	O
be	O
sufficient	O
for	O
the	O
calculation	B_TAS
of	I_TAS
phase	I_TAS
shifts	E_TAS
up	O
to	O
momenta	O
of	O
order	O
of	O
mπ/	O
	
•More	O
efforts	O
should	O
be	O
directed	O
towards	O
advancing	O
the	O
methods	O
of	O
feature	B_TAS
extraction	E_TAS
to	O
overcome	O
the	O
influence	O
of	O
dynamic	O
factors	O
that	O
limit	O
the	O
performance	O
The	O
use	O
of	O
advanced	B_PRO
machine	I_PRO
learning	I_PRO
methods	E_PRO
such	O
as	O
deep	B_PRO
neural	I_PRO
networks	E_PRO
and	O
muscles	B_PRO
synergies	I_PRO
extraction	E_PRO
should	O
also	O
be	O
investigated	O
on	O
problems	O
under	O
the	O
influence	O
of	O
multiple	O
dynamic	O
factors	O
as	O
such	O
methods	O
may	O
provide	O
substantial	O
improvements	O
upon	O
the	O
utilized	B_PRO
time-and-frequency	I_PRO
EMG	I_PRO
feature	I_PRO
extraction	I_PRO
methods	E_PRO
(Diener	O
Janke	O
&	O
Schultz	O
2015;	O
Ison	O
Vujaklija	O
Whitsell	O
Farina	O
&	O
Artemiadis	O
2016;	O
Park	O
&	O
Lee	O
2016)	O
Meanwhile	O
we	O
showed	O
that	O
the	O
performance	S_MAT
of	O
the	O
learning	O
algorithms	O
can	O
be	O
improved	O
by	O
using	O
feature	B_PRO
extraction	I_PRO
methods	E_PRO
that	O
rely	O
on	O
the	O
angular	O
information	O
of	O
muscle	O
activation	O
patterns	O
Features	S_PRO
such	O
as	O
the	O
TD-PSD	S_PRO
and	O
the	O
DFT	S_PRO
proved	O
more	O
successful	O
than	O
others	O
in	O
reducing	B_TAS
the	I_TAS
impact	I_TAS
of	I_TAS
the	I_TAS
two	I_TAS
dynamic	I_TAS
factors	E_TAS
that	O
we	O
considered	O
in	O
this	O
paper	O
Such	O
features	O
can	O
be	O
readily	O
implemented	O
into	O
a	O
prosthesis	B_PRO
controller	E_PRO
for	O
real-time	B_TAS
control	E_TAS
especially	O
that	O
the	O
EMG	B_PRO
pattern	I_PRO
recognition	I_PRO
systems	E_PRO
are	O
nowadays	O
becoming	O
available	O
for	O
clinical	B_TAS
testing	E_TAS
e.g	O
the	O
COAPT	B_PRO
complete	I_PRO
control	I_PRO
